the_geom,uid_merged,uid,idold,idagency,facname,addressnum,streetname,address,city,boro,borocode,zipcode,latitude,longitude,xcoord,ycoord,bin,bbl,commboard,council,censtract,nta,the_geom_webmercator,facgroup,facsubgrp,factype,capacity,util,captype,utilrate,area,areatype,proptype,optype,opname,opabbrev,overlevel,overagency,overabbrev,agencyjuris,datasource,dataname,dataurl,datadate,pgtable,facdomain
0101000020E6100000B61490F63F7A52C064B0E2546B6D4440,,137327,,NYSDOH: 1307,Morris Heights Health Center,85,West Burnside Avenue,85 West Burnside Avenue,Bronx,Bronx,2,10453,40.854838,-73.910154,1009104.6121,250730.636,2014571,2032100065,205,14,25100,BX36,0101000020110F0000F97C4B2DCE625FC1B7C9A574FA095341,Health Care,Hospitals and Clinics,Diagnostic and Treatment Center,,,,,,,,Non-public,Morris Heights Health Center Inc,Non-public,NYSDOH: State,NYS Department of Health,NYSDOH,,NYSDOH,NYSDOH: Health Facility General Information,NYSDOH: https://health.data.ny.gov/Health/Health-Facility-General-Information/vn5v-hh5r,NYSDOH: 2018-03-22,nysdoh_facilities_healthfacilities,Health and Human Services
0101000020E6100000B4AF3C484F7F52C01F9E25C8085E4440,,121526,,NYSDOH: 5936,Mount Sinai Downtown Union Square,10,Union Square East,10 Union Square East,New York,Manhattan,1,10003,40.734643,-73.989214,987239.3321,206927.1668,1083247,1008707501,105,2,5000,MN21,0101000020110F0000906F1B68666B5FC1EB225800B8F85241,Health Care,Hospitals and Clinics,Hospital Extension Clinic,,,,,,,,Non-public,"Mount Sinai Hospitals Group, Inc.",Non-public,NYSDOH: State,NYS Department of Health,NYSDOH,,NYSDOH,NYSDOH: Health Facility General Information,NYSDOH: https://health.data.ny.gov/Health/Health-Facility-General-Information/vn5v-hh5r,NYSDOH: 2018-03-22,nysdoh_facilities_healthfacilities,Health and Human Services
0101000020E6100000780E65A88A7152C03602F1BA7E5B4440,,21267,,NYSDOH: 6957,Hillside Polymedic Diagnostic and Treatment Center,187-30,Hillside Avenue,187-30 Hillside Avenue,Hollis,Queens,4,11423,40.714805,-73.774088,1046877.2233,199779.9654,4536525,4099360029,412,27,48000,QN61,0101000020110F000079C53B7A03545FC1E903A482DFF55241,Health Care,Hospitals and Clinics,Diagnostic and Treatment Center,,,,,,,,Non-public,Hillside Polymedic Diagnostic and Treatment Center,Non-public,NYSDOH: State,NYS Department of Health,NYSDOH,,NYSDOH,NYSDOH: Health Facility General Information,NYSDOH: https://health.data.ny.gov/Health/Health-Facility-General-Information/vn5v-hh5r,NYSDOH: 2018-03-22,nysdoh_facilities_healthfacilities,Health and Human Services
0101000020E6100000F8E0B54B1B8052C0732A1900AA524440,,94145,,NYSDOH: 4613,PS 169,4305,7 Avenue,4305 7 Avenue,Brooklyn,Brooklyn,3,11232,40.645813,-74.001666,983787.7017,174563.3449,3011002,3007320001,307,38,9200,BK34,0101000020110F0000C3F0B9F1C06C5FC16C11B4ACFBEB5241,Health Care,Hospitals and Clinics,School Based Hospital Extension Clinic,,,,,,,City Owned,Non-public,NYU Langone Hospitals,Non-public,NYSDOH: State,NYS Department of Health,NYSDOH,NYCDOE,"NYCDCAS;NYSDOH","NYCDCAS: City Owned and Leased Properties;NYSDOH: Health Facility General Information","NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page;NYSDOH: https://health.data.ny.gov/Health/Health-Facility-General-Information/vn5v-hh5r","NYCDCAS: 2017-06-01;NYSDOH: 2018-03-22","dcas_facilities_colp;nysdoh_facilities_healthfacilities",Health and Human Services
0101000020E6100000A3409FC8937D52C09BC6F65AD0614440,,134112,,NYSDOH: 10078,HSS ASC of Manhattan,1233,2 Avenue,1233 2 Avenue,New York,Manhattan,1,10065,40.764171,-73.962145,994736.411,217687.2476,1043870,1014197501,108,4,11800,MN31,0101000020110F00008AB1701475685FC1D84F20BBF4FC5241,Health Care,Hospitals and Clinics,Diagnostic and Treatment Center,,,,,,,,Non-public,"Hospital for Special Surgery Ambulatory Surgery Center of Manhattan, LLC",Non-public,NYSDOH: State,NYS Department of Health,NYSDOH,,NYSDOH,NYSDOH: Health Facility General Information,NYSDOH: https://health.data.ny.gov/Health/Health-Facility-General-Information/vn5v-hh5r,NYSDOH: 2018-03-22,nysdoh_facilities_healthfacilities,Health and Human Services
0101000020E61000001E1840F8507852C0821B295B24714440,,103605,,NYSDOH: 5706,Methadone 1,3550,Jerome Avenue,3550 Jerome Avenue,Bronx,Bronx,2,10467,40.883922,-73.879942,1017447.972,261337.1667,2017792,2033280025,207,11,43100,BX43,0101000020110F0000135D7D61855F5FC11299E1CE280E5341,Health Care,Hospitals and Clinics,Hospital Extension Clinic,,,,,,,,Non-public,"Montefiore Health System, Inc",Non-public,NYSDOH: State,NYS Department of Health,NYSDOH,,NYSDOH,NYSDOH: Health Facility General Information,NYSDOH: https://health.data.ny.gov/Health/Health-Facility-General-Information/vn5v-hh5r,NYSDOH: 2018-03-22,nysdoh_facilities_healthfacilities,Health and Human Services
0101000020E6100000C91D3691997C52C076E3DD91B1664440,,30116,,NYSDOH: 438,The Children's Aid Society,14,West  118 Street,14 West  118 Street,New York,Manhattan,1,10026,40.802294,-73.946873,998958.3813,231578.9762,1051435,1016010018,110,9,19000,MN11,0101000020110F0000301DE10FCC665FC18E5F94EA6D025341,Health Care,Hospitals and Clinics,Diagnostic and Treatment Center Extension Clinic,,,,,,,,Non-public,The Childrens Aid Society,Non-public,NYSDOH: State,NYS Department of Health,NYSDOH,,NYSDOH,NYSDOH: Health Facility General Information,NYSDOH: https://health.data.ny.gov/Health/Health-Facility-General-Information/vn5v-hh5r,NYSDOH: 2018-03-22,nysdoh_facilities_healthfacilities,Health and Human Services
0101000020E610000042CEFBFF387F52C0D8B8FE5D9F4D4440,,61171,,NYSDOH: 9481,City Wide Health Facility Inc.,105,Kings Highway,105 Kings Highway,Brooklyn,Brooklyn,3,11214,40.606426,-73.987854,987622.6376,160214.0089,3329040,3062537502,311,44,42800,BK29,0101000020110F000045D3DB8E406B5FC17D06587157E65241,Health Care,Hospitals and Clinics,Diagnostic and Treatment Center,,,,,,,,Non-public,"City Wide Health Facility, Inc.",Non-public,NYSDOH: State,NYS Department of Health,NYSDOH,,NYSDOH,NYSDOH: Health Facility General Information,NYSDOH: https://health.data.ny.gov/Health/Health-Facility-General-Information/vn5v-hh5r,NYSDOH: 2018-03-22,nysdoh_facilities_healthfacilities,Health and Human Services
0101000020E61000007FA5F3E1598052C0321D3A3DEF5A4440,,157377,,NYSDOH: 1437,New York-Presbyterian/Lower Manhattan Hospital,170,William Street,170 William Street,New York,Manhattan,1,10038,40.710426,-74.005486,982729.0753,198103.891,,1001000001,101,1,1501,MN25,0101000020110F00006B8D1D412B6D5FC127ADE2BB3EF55241,Health Care,Hospitals and Clinics,Hospital,,,,,,,,Non-public,The New York and Presbyterian Hospital,Non-public,NYSDOH: State,NYS Department of Health,NYSDOH,,NYSDOH,NYSDOH: Health Facility General Information,NYSDOH: https://health.data.ny.gov/Health/Health-Facility-General-Information/vn5v-hh5r,NYSDOH: 2018-03-22,nysdoh_facilities_healthfacilities,Health and Human Services
0101000020E61000006EDC627E6E8852C06C425A63D04B4440,,122385,,,Seaview Hospital/Ems St. 22,460,Brielle Avenue,460 Brielle Avenue,Staten Is,Staten Is,,10314,40.592297,-74.131744,947660.8514,155093.7402,5141697,5009550100,502,50,18100,SI24,0101000020110F00009DBC98FFE47A5FC19F79649251E45241,Health Care,Hospitals and Clinics,Residential Health Care Facility,,,,,,,City Owned,Public,NYC Health and Hospitals Corporation,NYCHHC,NYCHHC: City,NYC Health and Hospitals Corporation,NYCHHC,NYCHHC,NYCDCAS,NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCDCAS: 2017-06-01,dcas_facilities_colp,Health and Human Services
0101000020E61000005760C8EA567D52C095D8B5BDDD564440,,5516,,NYSDOH: 2889,Methadone Clinic II,639,Classon Avenue,639 Classon Avenue,Brooklyn,Brooklyn,3,11238,40.678642,-73.95843,995780.2082,186526.5749,3027756,3011340005,308,35,30500,BK61,0101000020110F00005C3A1EB10D685FC11DED4517B0F05241,Health Care,Hospitals and Clinics,Hospital Extension Clinic,,,,,,,,Non-public,"St. Josephs Hospital, Yonkers",Non-public,NYSDOH: State,NYS Department of Health,NYSDOH,,NYSDOH,NYSDOH: Health Facility General Information,NYSDOH: https://health.data.ny.gov/Health/Health-Facility-General-Information/vn5v-hh5r,NYSDOH: 2018-03-22,nysdoh_facilities_healthfacilities,Health and Human Services
0101000020E61000001AA37554357C52C0A9876874074F4440,,59743,,NYSDOH: 6656,"Physicare Multi-Services, Ltd",3508,Flatlands Avenue,3508 Flatlands Avenue,Brooklyn,Brooklyn,3,11234,40.617415,-73.940755,1000697.8382,164223.0241,3211776,3076970041,318,45,64600,BK45,0101000020110F00006E9582CC21665FC109B77C4CEAE75241,Health Care,Hospitals and Clinics,Diagnostic and Treatment Center,,,,,,,,Non-public,"Physicare Multi-Services, Ltd",Non-public,NYSDOH: State,NYS Department of Health,NYSDOH,,NYSDOH,NYSDOH: Health Facility General Information,NYSDOH: https://health.data.ny.gov/Health/Health-Facility-General-Information/vn5v-hh5r,NYSDOH: 2018-03-22,nysdoh_facilities_healthfacilities,Health and Human Services
0101000020E61000005FEE93A3007D52C0FD169D2CB5624440,,90061,,NYSDOH: 7683,I. Sherwood Wright Center for Aging,1484,1 Avenue,1484 1 Avenue,New York,Manhattan,1,10075,40.771154,-73.953164,997222.8982,220232.5399,1081248,1014720003,108,5,13200,MN31,0101000020110F0000D92BC7237B675FC171758853F5FD5241,Health Care,Hospitals and Clinics,Hospital Extension Clinic,,,,,,,,Non-public,The New York and Presbyterian Hospital,Non-public,NYSDOH: State,NYS Department of Health,NYSDOH,,NYSDOH,NYSDOH: Health Facility General Information,NYSDOH: https://health.data.ny.gov/Health/Health-Facility-General-Information/vn5v-hh5r,NYSDOH: 2018-03-22,nysdoh_facilities_healthfacilities,Health and Human Services
0101000020E61000000A86730D338052C098BED7101C5F4440,,22979,,NYSDOH: 7511,Michael Callen-Audre Lorde Community Health Center,356,West   18 Street,356 West   18 Street,New York,Manhattan,1,10011,40.743044,-74.003116,983386.5969,209987.5125,1013088,1007410063,104,3,8300,MN13,0101000020110F0000C2D12C4CE96C5FC1E4427E91ECF95241,Health Care,Hospitals and Clinics,Diagnostic and Treatment Center,,,,,,,,Non-public,"Community Health Project, Inc",Non-public,NYSDOH: State,NYS Department of Health,NYSDOH,,NYSDOH,NYSDOH: Health Facility General Information,NYSDOH: https://health.data.ny.gov/Health/Health-Facility-General-Information/vn5v-hh5r,NYSDOH: 2018-03-22,nysdoh_facilities_healthfacilities,Health and Human Services
0101000020E610000052D4997B487852C08ECC237F30704440,,63526,,NYSDOH: 6486,STD Center,3230,Bainbridge Avenue,3230 Bainbridge Avenue,Bronx,Bronx,2,10467,40.87648,-73.879424,1017594.8673,258626.1022,2018154,2033430008,207,11,42300,BX43,0101000020110F00002EA406F7765F5FC1417DD0E1160D5341,Health Care,Hospitals and Clinics,Hospital Extension Clinic,,,,,,,,Non-public,"Montefiore Health System, Inc",Non-public,NYSDOH: State,NYS Department of Health,NYSDOH,,NYSDOH,NYSDOH: Health Facility General Information,NYSDOH: https://health.data.ny.gov/Health/Health-Facility-General-Information/vn5v-hh5r,NYSDOH: 2018-03-22,nysdoh_facilities_healthfacilities,Health and Human Services
0101000020E61000001B12F758FA8652C0EF92382BA24E4440,,119189,,NYSDOH: 3223,Richmond Kidney Center,1366,Victory Boulevard,1366 Victory Boulevard,Staten Is,Staten Is,,10301,40.614324,-74.10903,953979.3357,163110.1202,5017006,5006810085,501,49,16901,SI07,0101000020110F00007EECE5DE6C785FC1269EE9F978E75241,Health Care,Hospitals and Clinics,Diagnostic and Treatment Center Extension Clinic,,,,,,,,Non-public,"Knickerbocker Dialysis, Inc",Non-public,NYSDOH: State,NYS Department of Health,NYSDOH,,NYSDOH,NYSDOH: Health Facility General Information,NYSDOH: https://health.data.ny.gov/Health/Health-Facility-General-Information/vn5v-hh5r,NYSDOH: 2018-03-22,nysdoh_facilities_healthfacilities,Health and Human Services
0101000020E6100000DE91B1DAFC7552C02BF86D88F16C4440,,99253,,NYSDOH: 4492,FMS-Morris Park,1325,Morris Park Avenue,1325 Morris Park Avenue,Bronx,Bronx,2,10461,40.851121,-73.843558,1027530.0564,249402.5591,2046961,2042090064,211,13,29600,BX49,0101000020110F0000FF5898D1905B5FC1A34333B271095341,Health Care,Hospitals and Clinics,Diagnostic and Treatment Center Extension Clinic,,,,,,,,Non-public,New York Dialysis Services Inc,Non-public,NYSDOH: State,NYS Department of Health,NYSDOH,,NYSDOH,NYSDOH: Health Facility General Information,NYSDOH: https://health.data.ny.gov/Health/Health-Facility-General-Information/vn5v-hh5r,NYSDOH: 2018-03-22,nysdoh_facilities_healthfacilities,Health and Human Services
0101000020E610000047C7D5C8AE7852C0AC730CC85E5F4440,,72055,,,Elmhurst Hospital Center,79-01,Broadway,79-01 Broadway,Elmhurst,Queens,4,11373,40.74508,-73.885668,1015930.5534,210750.0506,4437132,4015000002,404,25,26700,QN29,0101000020110F0000EA5813BC24605FC1E09A265B37FA5241,Health Care,Hospitals and Clinics,Hospital,,,,,,,City Owned,Public,NYC Health and Hospitals Corporation,NYCHHC,NYCHHC: City,NYC Health and Hospitals Corporation,NYCHHC,NYCHHC,NYCDCAS,NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCDCAS: 2017-06-01,dcas_facilities_colp,Health and Human Services
0101000020E610000060CB2BD7DB7E52C0BB9C121093604440,,104712,,NYSDOH: 969,University Eye Center,33,West   42 Street,33 West   42 Street,New York,Manhattan,1,10036,40.754488,-73.982168,989190.3942,214157.5566,1034197,1012580018,105,4,9600,MN17,0101000020110F0000D82E4051A26A5FC191DD7FF790FB5241,Health Care,Hospitals and Clinics,Diagnostic and Treatment Center,,,,,,,,Public,NYS Department of Health,NYSDOH,NYSDOH: State,NYS Department of Health,NYSDOH,,NYSDOH,NYSDOH: Health Facility General Information,NYSDOH: https://health.data.ny.gov/Health/Health-Facility-General-Information/vn5v-hh5r,NYSDOH: 2018-03-22,nysdoh_facilities_healthfacilities,Health and Human Services
0101000020E6100000E10CFE7E317A52C0DB6B41EF8D574440,,74870,,NYSDOH: 9639,"La Casa de Salud, Inc.",1420,Bushwick Avenue,1420 Bushwick Avenue,Brooklyn,Brooklyn,3,11207,40.684019,-73.909271,1009413.4911,188496.0946,3080067,3034440022,304,37,40300,BK78,0101000020110F00005D66689AB5625FC134CE9F6A75F15241,Health Care,Hospitals and Clinics,Diagnostic and Treatment Center Extension Clinic,,,,,,,City Owned,Non-public,"La Casa De Salud, Inc",Non-public,NYSDOH: State,NYS Department of Health,NYSDOH,"NYCACS;NYCCB304;NYCHHC;NYCHRA/DSS","NYCDCAS;NYSDOH","NYCDCAS: City Owned and Leased Properties;NYSDOH: Health Facility General Information","NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page;NYSDOH: https://health.data.ny.gov/Health/Health-Facility-General-Information/vn5v-hh5r","NYCDCAS: 2017-06-01;NYSDOH: 2018-03-22","dcas_facilities_colp;nysdoh_facilities_healthfacilities",Health and Human Services
0101000020E6100000F1F09E03CB8552C09D67EC4B364C4440,,47563,,NYSDOH: 9563,Staten Island Extension DTC,88,Old Town Road,88 Old Town Road,Staten Is,Staten Is,,10304,40.595407,-74.090516,959112.2924,156212.0824,5048706,5033070005,502,50,9601,SI36,0101000020110F000083F7E0A069765FC1327AAD8DC3E45241,Health Care,Hospitals and Clinics,Diagnostic and Treatment Center Extension Clinic,,,,,,,,Non-public,"Catholic Managed Long Term Care, Inc.",Non-public,NYSDOH: State,NYS Department of Health,NYSDOH,,NYSDOH,NYSDOH: Health Facility General Information,NYSDOH: https://health.data.ny.gov/Health/Health-Facility-General-Information/vn5v-hh5r,NYSDOH: 2018-03-22,nysdoh_facilities_healthfacilities,Health and Human Services
0101000020E6100000639AE95E277952C0CCB73EAC376C4440,,72082,,NYSDOH: 3189,"Vocational Inst Project Comm Services, Inc",1910,Arthur Avenue,1910 Arthur Avenue,Bronx,Bronx,2,10457,40.845449,-73.893028,1013846.6629,247315.2011,2009910,2029470014,206,17,36901,BX17,0101000020110F0000492E0290F1605FC1434C6105A1085341,Health Care,Hospitals and Clinics,Diagnostic and Treatment Center,,,,,,,,Non-public,"Vocational Instruction Project Community Services, Inc",Non-public,NYSDOH: State,NYS Department of Health,NYSDOH,,NYSDOH,NYSDOH: Health Facility General Information,NYSDOH: https://health.data.ny.gov/Health/Health-Facility-General-Information/vn5v-hh5r,NYSDOH: 2018-03-22,nysdoh_facilities_healthfacilities,Health and Human Services
0101000020E61000003A7AFCDEA67752C0F5F57CCD72554440,,123416,,NYSDOH: 6008,Brookdale Family Care Center Inc,2554,Linden Boulevard,2554 Linden Boulevard,Brooklyn,Brooklyn,3,11208,40.667566,-73.86956,1020436.2261,182515.525,3098733,3044840013,305,42,122000,BK82,0101000020110F0000E5077A73645E5FC10F5950AC19EF5241,Health Care,Hospitals and Clinics,Diagnostic and Treatment Center,,,,,,,,Non-public,"One Brooklyn Health System, Inc.",Non-public,NYSDOH: State,NYS Department of Health,NYSDOH,,"NYCDCAS;NYSDOH","NYCDCAS: City Owned and Leased Properties;NYSDOH: Health Facility General Information","NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page;NYSDOH: https://health.data.ny.gov/Health/Health-Facility-General-Information/vn5v-hh5r","NYCDCAS: 2017-06-01;NYSDOH: 2018-03-22","dcas_facilities_colp;nysdoh_facilities_healthfacilities",Health and Human Services
0101000020E6100000CB694FC9397D52C0315F5E807D4A4440,,96999,,NYSDOH: 6110,Sheepshead Bay Renal Care Center,26,Brighton   11 Street,26 Brighton   11 Street,Brooklyn,Brooklyn,3,11235,40.581955,-73.956652,996290.9458,151301.3745,3245361,3087070375,313,48,61004,BK19,0101000020110F0000B8BFD935DC675FC187E04C93D6E25241,Health Care,Hospitals and Clinics,Diagnostic and Treatment Center Extension Clinic,,,,,,,,Non-public,"Knickerbocker Dialysis, Inc",Non-public,NYSDOH: State,NYS Department of Health,NYSDOH,,NYSDOH,NYSDOH: Health Facility General Information,NYSDOH: https://health.data.ny.gov/Health/Health-Facility-General-Information/vn5v-hh5r,NYSDOH: 2018-03-22,nysdoh_facilities_healthfacilities,Health and Human Services
0101000020E61000006D3656629E8552C0D95DA0A4C04A4440,,125018,,NYSDOH: 7022,PSych/Alcoholism Treatment Pgm,450,Seaview Avenue,450 Seaview Avenue,Staten Is,Staten Is,,10305,40.584004,-74.087792,959864.6819,152057.1411,5050090,5033890049,502,50,11201,SI36,0101000020110F0000C84FE2D11D765FC1A002BAA821E35241,Health Care,Hospitals and Clinics,Hospital Extension Clinic,,,,,,,,Non-public,"Northwell Healthcare, Inc.",Non-public,NYSDOH: State,NYS Department of Health,NYSDOH,,NYSDOH,NYSDOH: Health Facility General Information,NYSDOH: https://health.data.ny.gov/Health/Health-Facility-General-Information/vn5v-hh5r,NYSDOH: 2018-03-22,nysdoh_facilities_healthfacilities,Health and Human Services
